owner_or_slug,project_slug,commit_version,not_one_shot_records_counting_duplicates,source_dirs,trajectory_classifications
prometheus/prometheus,prometheus-prometheus,bd5b2ea95ce14fba11db871b4068313408465207,2,setupbench-runs-all-gpt-4.1;setupbench-runs-all-gpt-5.4-multiblock,succeeded_after_internal_repair:1;succeeded_after_project_retry:1
psf/black,psf-black,c20423249e9d8dfb8581eebbfc67a13984ee45e9,2,setupbench-runs-all-gpt-4.1;setupbench-runs-all-gpt-4.1-2rerun,failed_after_project_retries:1;failed_in_project_run:1
public-apis/public-apis,public-apis-public-apis,b354ba6f4fc596b72db80c5a4051be4d837f6cf6,2,setupbench-runs-all-gpt-4.1;setupbench-runs-all-gpt-4.1-2rerun,failed_after_project_retries:1;failed_in_project_run:1
pypa/packaging,pypa-packaging,4493dfcd95a893f676a7aa4bd17c547bea676371,2,setupbench-runs-all-gpt-4.1;setupbench-runs-all-gpt-4.1-2rerun,failed_in_project_run:1;succeeded_after_internal_repair:1
pytest-dev/pytest,pytest-dev-pytest,fa6a232d529b33f6388dc788d7613cf206c08130,2,executionagent-runs-gpt4o;executionagent-runs-gpt54,succeeded_after_internal_repair:1;succeeded_after_project_retry:1
python/cpython,python-cpython,1eddef81930ad9f7e2f411f153c35af16a6edf14,2,executionagent-runs-gpt4o;executionagent-runs-gpt54,succeeded_after_internal_repair:1;succeeded_after_project_retry:1
reflex-dev/reflex,reflex-dev-reflex,8657976a6e4b6b6aef305ee7f6154907bac86870,2,setupbench-runs-all-gpt-4.1;setupbench-runs-all-gpt-4.1-2rerun,failed_after_project_retries:1;failed_in_project_run:1
sabnzbd/sabnzbd,sabnzbd-sabnzbd,07250aa,2,installamatic-runs;installamatic-runs-rerun-failures-2,failed_in_project_run:1;succeeded_after_internal_repair:1
testing-cabal/testtools,testing-cabal-testtools,ef5c465bbf95f1915f06ec5a4080809932566757,2,setupbench-runs-all-gpt-4.1;setupbench-runs-all-gpt-4.1-2rerun,failed_after_project_retries:1;failed_in_project_run:1
tqdm/tqdm,tqdm-tqdm,951a2ba,2,installamatic-runs;installamatic-runs-rerun-failures-2,failed_in_project_run:1;succeeded_after_internal_repair:1
AIR-Bench,AIR-Bench,,1,projects-repo2run,succeeded_after_internal_repair:1
AdvancedLivePortrait-WebUI,AdvancedLivePortrait-WebUI,,1,projects-repo2run,failed_in_project_run:1
AlphaCodium,AlphaCodium,,1,projects-repo2run,failed_in_project_run:1
Auralis,Auralis,,1,projects-repo2run,succeeded_after_internal_repair:1
ClaudeSync,ClaudeSync,,1,projects-repo2run,failed_in_project_run:1
CodeFuse-muAgent,CodeFuse-muAgent,,1,projects-repo2run,missing_manifest_incomplete:1
ComfyUI_omost,ComfyUI_omost,,1,projects-repo2run,failed_in_project_run:1
DTrOCR,DTrOCR,,1,projects-repo2run,succeeded_after_internal_repair:1
DeepSpeedFugaku,DeepSpeedFugaku,,1,projects-repo2run,failed_in_project_run:1
ENOVA,ENOVA,,1,projects-repo2run,failed_in_project_run:1
ExtractThinker,ExtractThinker,,1,projects-repo2run,failed_in_project_run:1
FastAPI-Reference-App,FastAPI-Reference-App,,1,projects-repo2run,succeeded_after_internal_repair:1
FlagGems,FlagGems,,1,projects-repo2run,succeeded_after_internal_repair:1
FreeRTOS/FreeRTOS-Kernel,freertos-freertos-kernel,fed39c5ea7483dde7bf7c92950d49e6b75539f5a,1,executionagent-runs-gpt54,succeeded_after_project_retry:1
